Church Name,Phone Number,Zip Code,Address,Denomination,State,URL
First Baptist Church,618-488-3025,62001,"PO Box 208, Alhambra, IL, 62001",General Baptist,MO,N/A
Salem United Church Of Christ,618-488-3215,62001,"1117 W North St, Alhambra, IL, 62001",United Church of Christ,MO,N/A
Abundant Life Community Church,618-474-5433,62002,"3986 Humbert Rd, Alton, IL, 62002",Assemblies of God,MO,N/A
Alton First Southern Baptist Church,618-466-2474,62002,"4500 Humbert Rd, Alton, IL, 62002",Southern Baptist,MO,N/A
Alton Grace United Methodist Church,618-462-2662,62002,"714 Henry St, Alton, IL, 62002",United Methodist,MO,
Alton Seventh Day Adventist Church,618-462-7613,62002,"PO Box 366, Alton, IL, 62002",Seventh-Day Adventist,MO,
Ambassador Christian Fellowship,618-462-7134,62002,"3124 College Ave, Alton, IL, 62002",Interdenominational,MO,
Beltline Church Of God,618-462-2412,62002,"310 Oakwood Ave, Alton, IL, 62002",Church of God (Cleveland TN),MO,
Bethel Temple Baptist Church,618-462-0881,62002,"216 E Elm St # 218, Alton, IL, 62002",Baptist,MO,
Bethesda Temple,618-463-1845,62002,"92 E 5th St, Alton, IL, 62002",Apostolic,MO,
Bread Life Fellowship Church,618-466-4543,62002,"5000 Humbert Rd, Alton, IL, 62002",Interdenominational,MO,
Brown Street Baptist Church,618-465-8588,62002,"3125 Brown St, Alton, IL, 62002",General Baptist,MO,
Calvary Baptist Church,618-462-8816,62002,"1422 Washington Ave, Alton, IL, 62002",Southern Baptist,MO,
Calvary Temple,618-465-9038,62002,"713 Washington Ave, Alton, IL, 62002",Nondenominational,MO,
Campbell African Methodist Episcopal Chapel,618-465-2483,62002,"PO Box 436, Alton, IL, 62002",African Methodist Episcopal,MO,
Catholic Charities,618-462-0634,62002,"735 Park Dr, Alton, IL, 62002",Roman Catholic,MO,
Cherry St Baptist Church,618-465-9115,62002,"1125 E 6th St, Alton, IL, 62002",American Baptist,MO,
Christian Science Society,618-462-2371,62002,"1904 Muny Vista Ct, Alton, IL, 62002",Christian Science,MO,
Church Of Christ,618-462-4743,62002,"3536 Prince Rd, Alton, IL, 62002",Church of Christ,MO,
Church Of Christ,618-462-6252,62002,"2860 Buckmaster Ln, Alton, IL, 62002",Church of Christ,MO,
Church Of God In Christ,618-462-0353,62002,"1100 Highland Ave, Alton, IL, 62002",Interdenominational,MO,
Church Of Good Samaritan Inc,618-462-2168,62002,"PO Box 1197, Alton, IL, 62002",Nondenominational,MO,
Benld United Methodist Church,217-835-4773,62009,"209 S Main St, Benld, IL, 62009",United Methodist,MO,
Assembly Of God Church,618-377-7625,62010,"PO Box 136, Bethalto, IL, 62010",Assemblies of God,MO,
Bethalto Church Of God,618-377-3070,62010,"PO Box 131, Bethalto, IL, 62010",Church of God (Cleveland TN),MO,
Bethalto First Baptist Church,618-377-6472,62010,"PO Box 11, Bethalto, Be, 62010",Southern Baptist,MO,
Bethalto Presbyterian Church,618-377-6393,62010,"143 Virginia St, Bethalto, IL, 62010",Presbyterian,MO,
Bethalto Presbyterian Church,618-377-5317,62010,"15 Nelson Dr, Bethalto, IL, 62010",Presbyterian Church (U.S.A.),MO,
Bethalto United Methodist Church,618-377-8413,62010,"240 E Sherman St, Bethalto, IL, 62010",United Methodist,MO,
Bethel General Baptist Church,618-377-5751,62010,"816 S Prairie St, Bethalto, IL, 62010",General Baptist,MO,
